cve_ent,entidad,anio,num_programas,presupuesto_ejercido_mdp,presupuesto_por_programa
14,Jalisco,2011,58,4843.183837,83.50316960344827
14,Jalisco,2012,61,1469.83,24.095573770491804
14,Jalisco,2013,58,204872205.0,3532279.396551724
14,Jalisco,2014,69,1460374271.0,21164844.507246375
14,Jalisco,2016,67,2556922714.0,38163025.58208955
14,Jalisco,2018,46,1203782124.499,26169176.61954348
14,Jalisco,2021,84,2440854555.8,29057792.330952384
15,Estado de Mexico,2010,282,218.51,0.7748581560283687
15,Estado de Mexico,2011,189,2273.74,12.030370370370369
15,Estado de Mexico,2018,61,44347.2,727.0032786885246
15,Estado de Mexico,2021,43,12342933711.15,287044970.0267442
16,Michoacan,2010,70,872.6270036666666,12.466100052380952
16,Michoacan,2011,53,1325.158,25.00298113207547
16,Michoacan,2014,45,0.0,0.0
16,Michoacan,2016,29,169085000.0,5830517.24137931
16,Michoacan,2018,45,415363122.97,9230291.621555556
17,Morelos,2010,70,1312.8224946666667,18.754607066666665
17,Morelos,2011,87,1160.751709,13.341973666666666
17,Morelos,2012,80,1063.61,13.295124999999999
17,Morelos,2013,81,52917694.0,653304.8641975309
17,Morelos,2014,57,0.0,0.0
17,Morelos,2016,25,155567146.0,6222685.84
17,Morelos,2018,51,62500000.0,1225490.1960784313
17,Morelos,2021,14,11078242.0,791303.0
18,Nayarit,2010,64,803.05695,12.54776484375
18,Nayarit,2011,84,505.698187,6.020216511904762
18,Nayarit,2012,210,2544.03,12.114428571428572
18,Nayarit,2013,86,252698213.0,2938351.3139534886
18,Nayarit,2014,103,199330030.0,1935243.009708738
18,Nayarit,2016,23,42686730.58,1855944.8078260869
18,Nayarit,2018,24,145286258.81,6053594.117083333
18,Nayarit,2021,9,46783578.45999999,5198175.3844444435
19,Nuevo Leon,2010,34,1319.959512,38.82233858823529
19,Nuevo Leon,2011,129,13484.14,104.52821705426356
19,Nuevo Leon,2012,89,470.61,5.287752808988764
19,Nuevo Leon,2013,69,2420141062.0,35074508.14492754
19,Nuevo Leon,2014,60,708257000.0,11804283.333333334
19,Nuevo Leon,2016,19,89695321.28,4720806.383157895
19,Nuevo Leon,2018,21,0.0,0.0
19,Nuevo Leon,2021,27,951418598.0,35237725.85185185
20,Oaxaca,2010,52,6612.314225,127.15988894230769
20,Oaxaca,2011,49,1471.9368,30.039526530612243
20,Oaxaca,2012,91,3123.45,34.323626373626375
20,Oaxaca,2013,91,2352315383.0,25849619.59340659
20,Oaxaca,2014,72,1507900388.0,20943060.944444444
20,Oaxaca,2016,34,372738051.23,10962883.859705882
20,Oaxaca,2018,85,827637007.46,9736905.970117647
20,Oaxaca,2021,40,958736954.13,23968423.85325
21,Puebla,2010,66,931.3805639999999,14.111826727272726
21,Puebla,2011,115,1649.013,14.339243478260869
21,Puebla,2012,125,1692.1100000000001,13.536880000000002
21,Puebla,2013,77,657345940.0,8536960.25974026
21,Puebla,2014,103,462270187.0,4488060.067961165
21,Puebla,2016,27,81610486.0,3022610.592592593
21,Puebla,2018,36,1438751712.0,39965325.333333336
21,Puebla,2021,22,2147456902.06,97611677.36636363
22,Queretaro,2010,15,493.86,32.924
22,Queretaro,2011,18,1047.4,58.1888888888889
22,Queretaro,2012,27,1429.77,52.95444444444444
22,Queretaro,2013,42,78066966.0,1858737.2857142857
22,Queretaro,2014,58,167955773.4,2895789.1965517243
22,Queretaro,2016,29,376482705.14,12982162.246206896
22,Queretaro,2018,38,316540957.2,8330025.189473684
22,Queretaro,2021,18,476385247.51,26465847.08388889
23,Quintana Roo,2010,54,750.6945,13.90175
23,Quintana Roo,2011,72,568.152,7.891000000000001
23,Quintana Roo,2012,93,1287.23,13.841182795698925
23,Quintana Roo,2013,54,162605691.2,3011216.5037037036
23,Quintana Roo,2014,58,587293505.0,10125750.086206896
23,Quintana Roo,2016,49,7027617860.0,143420772.6530612
23,Quintana Roo,2018,43,344418639.0,8009735.790697674
23,Quintana Roo,2021,28,0.0,0.0
24,San Luis Potosi,2010,74,2512.3268,33.95036216216216
24,San Luis Potosi,2011,46,628.6343790000001,13.665964760869567
24,San Luis Potosi,2012,57,9614.81,168.68087719298245
24,San Luis Potosi,2013,29,928578119.0,32019935.137931034
24,San Luis Potosi,2014,60,484800000.0,8080000.0
24,San Luis Potosi,2016,29,573153515.03,19763914.31137931
24,San Luis Potosi,2018,42,70444470.0,1677249.2857142857
24,San Luis Potosi,2021,14,83370016.0,5955001.142857143
25,Sinaloa,2010,44,2339.492422,53.17028231818181
25,Sinaloa,2011,89,2480.65,27.87247191011236
25,Sinaloa,2012,141,3498.4700000000003,24.81184397163121
25,Sinaloa,2013,102,1869170091.0,18325196.970588237
25,Sinaloa,2014,92,79354847.0,862552.6847826086
25,Sinaloa,2016,64,104856167.71,1638377.62046875
25,Sinaloa,2018,74,45255181.99,611556.5133783784
25,Sinaloa,2021,25,381749745.28,15269989.811199998
26,Sonora,2010,60,364.53969952,6.075661658666666
26,Sonora,2011,86,12621.82,146.7653488372093
26,Sonora,2012,193,32598.15,168.90233160621761
26,Sonora,2013,86,136250000.0,1584302.3255813953
26,Sonora,2014,97,188700000.0,1945360.824742268
26,Sonora,2016,49,508310924.61,10373692.338979593
26,Sonora,2018,58,1584870734.48,27325357.49103448
26,Sonora,2021,29,500646966.76,17263688.50896552
27,Tabasco,2010,28,10954.036721999999,391.21559721428565
27,Tabasco,2011,40,335.7199999999999,8.392999999999997
27,Tabasco,2012,57,333.28000000000003,5.84701754385965
27,Tabasco,2013,45,100445928.0,2232131.7333333334
27,Tabasco,2014,25,78568144.0,3142725.76
27,Tabasco,2016,18,131974971.0,7331942.833333333
27,Tabasco,2018,24,652624626.17,27192692.75708333
27,Tabasco,2021,15,2036794283.86,135786285.59066665
28,Tamaulipas,2010,52,4551.627755500001,87.53130299038463
28,Tamaulipas,2011,50,2501.0,50.02
28,Tamaulipas,2012,114,6526.66,57.25140350877193
28,Tamaulipas,2013,89,646452671.0,7263513.157303371
28,Tamaulipas,2014,118,935440000.0,7927457.627118644
28,Tamaulipas,2016,48,968122099.0,20169210.395833332
28,Tamaulipas,2018,32,0.0,0.0
28,Tamaulipas,2021,43,77088173.33,1792748.2169767441
29,Tlaxcala,2012,40,180.72,4.518
29,Tlaxcala,2013,69,878244497.02,12728181.116231883
29,Tlaxcala,2014,65,127805260.0,1966234.7692307692
29,Tlaxcala,2016,30,147399185.01999998,4913306.167333333
29,Tlaxcala,2018,32,58440.0,1826.25
29,Tlaxcala,2021,34,97830300.0,2877361.7647058824
30,Veracruz,2010,189,1329.31,7.033386243386243
30,Veracruz,2011,183,369.0,2.0163934426229506
30,Veracruz,2018,23,47359832.81,2059123.165652174
31,Yucatan,2010,78,1660.0665414,21.282904376923078
31,Yucatan,2011,98,449.218718,4.5838644693877555
31,Yucatan,2012,99,839.18,8.476565656565656
31,Yucatan,2013,101,482083333.0,4773102.306930693
31,Yucatan,2014,121,194833947.0,1610197.9090909092
31,Yucatan,2016,68,305807682.85,4497171.806617647
31,Yucatan,2018,118,284925020.27,2414618.8158474574
31,Yucatan,2021,53,4750702405.0,89635894.43396227
32,Zacatecas,2010,80,2208.982959,27.6122869875
32,Zacatecas,2011,93,1870.1623716899999,20.109272813870966
32,Zacatecas,2012,103,688.83,6.687669902912622
32,Zacatecas,2013,62,22846312.54,368488.91193548386
32,Zacatecas,2014,100,329457579.0,3294575.79
32,Zacatecas,2016,48,658258902.0,13713727.125
32,Zacatecas,2018,42,624614748.0,14871779.714285715
32,Zacatecas,2021,58,317589284.0,5475677.310344827
